"","logFC","AveExpr","t","P.Value","adj.P.Val","B","FDR","SYMBOL","ENTREZID","GENENAME"
"7102",-1.00918054274267,4.28675172455377,-9.54726346677206,2.11872354431422e-08,0.000339207639444707,9.22103132944176,0.000339207639444707,"TSPAN7","7102","tetraspanin 7"
"100462981",-4.98891250075276,0.812940633716082,-8.57871024270382,1.02139984318224e-07,0.000581383111944537,6.26840586181552,0.000581383111944537,"MTRNR2L2","100462981","MT-RNR2 like 2 (pseudogene)"
"80177",-1.08425217497844,3.71358990592866,-8.54045400783063,1.08941245211344e-07,0.000581383111944537,7.6823578463038,0.000581383111944537,"MYCT1","80177","MYC target 1"
"729603",1.00047648096769,2.94046290452304,7.79513523034025,3.969937608173e-07,0.00158896752767124,6.17668546879636,0.00158896752767124,"CHP1P2","729603","CHP1 pseudogene 2"
"4509",-1.96814721155404,4.33380454572607,-7.10788438707575,1.39556536310357e-06,0.00414928600726903,5.47584072615349,0.00414928600726903,"ATP8","4509","ATP synthase F0 subunit 8"
"5010",-1.75014790686146,4.31045452201956,-6.9574083491005,1.85346743355079e-06,0.00414928600726903,5.21374214068777,0.00414928600726903,"CLDN11","5010","claudin 11"
"51705",-0.948971090089292,5.25795551230647,-6.94336803548194,1.90349469277698e-06,0.00414928600726903,5.21986606272382,0.00414928600726903,"EMCN","51705","endomucin"
"641700",-0.770545008263562,3.92253591386491,-6.89840439676877,2.07334716165848e-06,0.00414928600726903,5.08129912732589,0.00414928600726903,"ECSCR","641700","endothelial cell surface expressed chemotaxis and apoptosis regulator"
"378",-0.62538311392155,6.26652973714045,-6.78196746699365,2.59031886918474e-06,0.00460788945507197,4.93271754094725,0.00460788945507197,"ARF4","378","ARF GTPase 4"
"10579",0.576554295009558,7.5469926338622,6.63157071576976,3.46271756676408e-06,0.00522506253289199,4.64691069482002,0.00522506253289199,"TACC2","10579","transforming acidic coiled-coil containing protein 2"
"3426",-0.787796207231337,2.71531800679385,-6.512188371052,4.36951578517035e-06,0.00522506253289199,4.24688180114902,0.00522506253289199,"CFI","3426","complement factor I"
"9403",-0.596294488500967,6.07007393403322,-6.42078398518367,5.22807205914882e-06,0.00522506253289199,4.2716466441389,0.00522506253289199,"SELENOF","9403","selenoprotein F"
"10581",-0.986296422008517,4.46896637047781,-6.4198466988568,5.23772861879216e-06,0.00522506253289199,4.25661165767,0.00522506253289199,"IFITM2","10581","interferon induced transmembrane protein 2"
"6366",-1.43983480117157,4.60443102439824,-6.39367261578962,5.51497968314506e-06,0.00522506253289199,4.21126643110936,0.00522506253289199,"CCL21","6366","C-C motif chemokine ligand 21"
"168537",-0.996744205664245,3.30275428890732,-6.37959524685166,5.67033211718335e-06,0.00522506253289199,4.10942825772491,0.00522506253289199,"GIMAP7","168537","GTPase, IMAP family member 7"
"10550",-0.574973593199924,6.95148013952456,-6.37361936028616,5.73764198591016e-06,0.00522506253289199,4.17791581749701,0.00522506253289199,"ARL6IP5","10550","ARF like GTPase 6 interacting protein 5"
"8743",-0.801406876124616,5.56884943874308,-6.37276885677456,5.7472886720749e-06,0.00522506253289199,4.18187350914472,0.00522506253289199,"TNFSF10","8743","TNF superfamily member 10"
"79017",-0.806229716296309,5.03421040818109,-6.36168730720714,5.8745237721459e-06,0.00522506253289199,4.15842419211853,0.00522506253289199,"GGCT","79017","gamma-glutamylcyclotransferase"
"2207",-1.2025861872337,3.81729021725024,-6.3123855098451,6.47690960633047e-06,0.00545764856828162,4.03349356551431,0.00545764856828162,"FCER1G","2207","Fc epsilon receptor Ig"
"116441",-1.3976034436154,2.94465246442555,-6.23584300211013,7.54166858034713e-06,0.00603710569856788,3.81700396849969,0.00603710569856788,"TM4SF18","116441","transmembrane 4 L six family member 18"
"100463487",-3.90393526301572,-1.07117203984225,-6.19134632634638,8.24231451504396e-06,0.00628378358980257,2.42414017718424,0.00628378358980257,"MTRNR2L9","100463487","MT-RNR2 like 9 (pseudogene)"
